Somalia	Canada	0
Somalia	China	0
Somalia	Denmark	0
Somalia	France	0
Somalia	Djibouti	0
Somalia	Germany	0
Somalia	Hong Kong	0
Somalia	Iraq	0
Somalia	Australia	0
Somalia	Ireland	0
Somalia	Italy	2
Somalia	Jamaica	0
Somalia	Jordan	0
Somalia	Kenya	0
Somalia	Bangladesh	0
Somalia	Oman	0
Somalia	Netherlands	0
Somalia	Pakistan	0
Somalia	Belgium	0
Somalia	Qatar	0
Somalia	Saudi Arabia	39
Somalia	India	0
Somalia	South Africa	0
Somalia	Sudan	0
Somalia	Switzerland	0
Somalia	United Arab Emirates	3
Somalia	Russia	0
Somalia	Egypt	0
Somalia	United Kingdom	0
Somalia	Tanzania	0
Somalia	United States	0
Liberia	Cameroon	0
Liberia	Canada	0
Liberia	Benin	0
Liberia	Denmark	0
Liberia	Dominican Republic	0
Liberia	Finland	0
Liberia	France	7
Liberia	Gambia, The	0
Liberia	Germany	24
Liberia	Ghana	0
Liberia	Greece	0
Liberia	Guinea	0
Liberia	Hong Kong	0
Liberia	Australia	0
Liberia	Ireland	0
Liberia	Israel	0
Liberia	Italy	12
Liberia	Cote d'Ivoire	0
Liberia	Japan	1
Liberia	Korea, South	0
Liberia	Lebanon	0
Liberia	Libya	0
Liberia	Mali	0
Liberia	Mauritania	0
Liberia	Mexico	1
Liberia	Morocco	0
Liberia	Netherlands	5
Liberia	Nigeria	2
Liberia	Norway	0
Liberia	Pakistan	0
Liberia	Belgium	4
Liberia	Poland	0
Liberia	Portugal	0
Liberia	Romania	1
Liberia	Saudi Arabia	0
Liberia	Senegal	0
Liberia	Sierra Leone	0
Liberia	India	0
Liberia	Spain	2
Liberia	Sweden	0
Liberia	Switzerland	0
Liberia	Syria	0
Liberia	Togo	0
Liberia	Turkey	0
Liberia	Egypt	0
Liberia	United Kingdom	1
Liberia	United States	16
Liberia	Slovenia	1
Saint Pierre and Miquelon	Canada	0
Saint Pierre and Miquelon	France	0
Saint Pierre and Miquelon	Germany	0
Saint Pierre and Miquelon	Japan	0
Saint Pierre and Miquelon	Belgium	0
Saint Pierre and Miquelon	Spain	0
Saint Pierre and Miquelon	United Kingdom	0
Saint Pierre and Miquelon	United States	0
Angola	Cameroon	16
Angola	Canada	67
Angola	Chile	40
Angola	Congo, Democratic Republic of the	2
Angola	Denmark	0
Angola	France	523
Angola	Germany	38
Angola	Gibraltar	22
Angola	Italy	149
Angola	Japan	0
Angola	Morocco	1
Angola	Netherlands	371
Angola	Nigeria	33
Angola	Norway	13
Angola	Belgium	83
Angola	Portugal	158
Angola	Sao Tome and Principe	2
Angola	Spain	73
Angola	Brazil	379
Angola	United Kingdom	260
Angola	Tanzania	16
Angola	United States	3772
Angola	Slovenia	112
Haiti	Canada	1
Haiti	Cayman Islands	0
Haiti	Dominican Republic	0
Haiti	Ecuador	0
Haiti	France	4
Haiti	Germany	0
Haiti	Antigua and Barbuda	0
Haiti	Grenada	0
Haiti	Guatemala	0
Haiti	Guyana	0
Haiti	Australia	0
Haiti	Israel	0
Haiti	Italy	1
Haiti	Jamaica	0
Haiti	Japan	0
Haiti	Korea, South	0
Haiti	Bahamas, The	0
Haiti	Mexico	0
Haiti	Netherlands	1
Haiti	Barbados	0
Haiti	Aruba	0
Haiti	Belgium	3
Haiti	Panama	0
Haiti	Poland	0
Haiti	Saint Kitts and Nevis	0
Haiti	Saint Lucia	0
Haiti	Saint Vincent and the Grenadines	0
Haiti	Spain	0
Haiti	Switzerland	0
Haiti	Turks and Caicos Islands	0
Haiti	Egypt	0
Haiti	United Kingdom	0
Haiti	United States	66
Tajikistan	Bulgaria	0
Tajikistan	Belarus	0
Tajikistan	Canada	0
Tajikistan	Congo, Republic of the	0
Tajikistan	Equatorial Guinea	0
Tajikistan	Estonia	0
Tajikistan	France	0
Tajikistan	Djibouti	0
Tajikistan	Georgia	0
Tajikistan	Germany	0
Tajikistan	Greece	1
Tajikistan	Azerbaijan	0
Tajikistan	Hungary	0
Tajikistan	Italy	3
Tajikistan	Kazakhstan	1
Tajikistan	Austria	0
Tajikistan	Kyrgyzstan	0
Tajikistan	Latvia	2
Tajikistan	Malta	0
Tajikistan	Netherlands	27
Tajikistan	Belgium	1
Tajikistan	Poland	0
Tajikistan	Portugal	0
Tajikistan	Romania	0
Tajikistan	Russia	39
Tajikistan	Slovakia	1
Tajikistan	Somalia	0
Tajikistan	Spain	0
Tajikistan	Sweden	0
Tajikistan	Switzerland	7
Tajikistan	Turkmenistan	1
Tajikistan	Ukraine	0
Tajikistan	Egypt	0
Tajikistan	United Kingdom	1
Tajikistan	United States	0
Tajikistan	Uzbekistan	15
